X1,X11,M1,M2,M3,M4,M5,X2,X3,X4,X5,X6,y,y1,N1,N2,N3,N4,N5
122.881746,10.91188892,124.1666667,97,139.6666667,116.75,129.3333333,2,GBCA,spleen,26201,3.1,NA,,NA,NA,NA,NA,NA
109.3153439,8.537299739,109.5,94.66666667,124.3333333,103.25,115.25,3,GBCA,spleen,26201,3.1,NA,,NA,NA,NA,NA,NA
89.79259259,8.430214748,89.16666667,76,108,83.16666667,95.58333333,4,GBCA,spleen,26201,3.1,NA,,NA,NA,NA,NA,NA
65.42142857,10.66130107,68.33333333,34,77.66666667,61.08333333,72.5,5,GBCA,spleen,26201,3.1,NA,,NA,NA,NA,NA,NA
169.9390142,9.615309874,169.6666667,153.3333333,193,163.3333333,175,1,GBCA,spleen,26608,2.9,NA,,NA,NA,NA,NA,NA
98.41436926,7.509948587,98.66666667,82.66666667,114.6666667,93.5,102.5,2,GBCA,spleen,26608,2.9,NA,,NA,NA,NA,NA,NA
87.26566416,8.578982166,86,71.66666667,106.6666667,81.5,91.66666667,3,GBCA,spleen,26608,2.9,NA,,NA,NA,NA,NA,NA
75.05513784,9.732077864,75,58.33333333,91.33333333,71,82.83333333,4,GBCA,spleen,26608,2.9,NA,,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,5,GBCA,spleen,26608,2.9,NA,,NA,NA,NA,NA,NA
84.43859649,9.066007938,84.33333333,68.66666667,101.6666667,78.5,90,1,GBCA,spleen,26599,3.22,NA,,NA,NA,NA,NA,NA
152.9796157,6.460588175,153,141.6666667,167,149.1666667,156.5833333,2,GBCA,spleen,26599,3.22,NA,,NA,NA,NA,NA,NA
101.1578947,8.59933575,102,83,117.3333333,95.66666667,106.3333333,3,GBCA,spleen,26599,3.22,NA,,NA,NA,NA,NA,NA
88.1754386,7.273329611,88.33333333,76.66666667,102,82.66666667,93.33333333,4,GBCA,spleen,26599,3.22,NA,,NA,NA,NA,NA,NA
84.10526316,10.52399185,86,62,102,77.83333333,92,5,GBCA,spleen,26599,3.22,NA,,NA,NA,NA,NA,NA
107.6991228,12.29066352,106.8333333,83.66666667,128,99.16666667,117.25,1,GBCA,spleen,26285,2.7,NA,,NA,NA,NA,NA,NA
123.6340852,8.860442921,122.3333333,106.6666667,144.6666667,118.8333333,128,2,GBCA,spleen,26285,2.7,NA,,NA,NA,NA,NA,NA
93.08521303,7.808175521,94,77.33333333,106.6666667,87.33333333,98.5,3,GBCA,spleen,26285,2.7,NA,,NA,NA,NA,NA,NA
75.75438596,9.086797528,76,54.33333333,90,71.33333333,82.5,4,GBCA,spleen,26285,2.7,NA,,NA,NA,NA,NA,NA
76.04845447,8.50316675,75.66666667,58.66666667,91.33333333,71,82,5,GBCA,spleen,26285,2.7,NA,,NA,NA,NA,NA,NA
141.4684211,8.982702495,141.3333333,126.3333333,158.6666667,133.5833333,146.5,1,GBCA,spleen,26684,3.52,NA,,NA,NA,NA,NA,NA
99.4085213,8.485485178,100,82.33333333,115.3333333,93.83333333,104,2,GBCA,spleen,26684,3.52,NA,,NA,NA,NA,NA,NA
84.39515455,8.340515659,84,70.33333333,100.3333333,78.83333333,91.33333333,3,GBCA,spleen,26684,3.52,NA,,NA,NA,NA,NA,NA
79.86466165,8.287832873,79.66666667,64.33333333,96.33333333,74.16666667,85.16666667,4,GBCA,spleen,26684,3.52,NA,,NA,NA,NA,NA,NA
80.29072682,5.481085174,81,68,89.33333333,76.66666667,84.5,5,GBCA,spleen,26684,3.52,NA,,NA,NA,NA,NA,NA
74.49047619,7.157980893,75.16666667,58.66666667,85.33333333,70.75,79.75,1,GBCA,spleen,26375,3.23,NA,,NA,NA,NA,NA,NA
89.29285714,6.587774273,89,76.33333333,101.3333333,84.91666667,93.91666667,2,GBCA,spleen,26375,3.23,NA,,NA,NA,NA,NA,NA
76.66349206,6.905381871,76.33333333,65.33333333,92,72,80.41666667,3,GBCA,spleen,26375,3.23,NA,,NA,NA,NA,NA,NA
70.13253968,9.382328095,70,50.33333333,86,64.25,76.91666667,4,GBCA,spleen,26375,3.23,NA,,NA,NA,NA,NA,NA
69.47222222,6.256074521,69.66666667,57,83,66.08333333,73.16666667,5,GBCA,spleen,26375,3.23,NA,,NA,NA,NA,NA,NA
71.77089783,8.612476347,71.33333333,54.33333333,88.33333333,67.16666667,75.83333333,1,AGUIX,liver,26201,3.1,0.053650794,0.00523569,0.053333333,0.046666667,0.066666667,0.053333333,0.053333333
78.93492063,7.464394153,78.16666667,64.33333333,92.33333333,74,84.08333333,2,AGUIX,liver,26201,3.1,0.351035088,0.030126294,0.353333333,0.313333333,0.44,0.326666667,0.363333333
86.25079365,6.964793613,86.33333333,71,100.3333333,82.08333333,90.66666667,3,AGUIX,liver,26201,3.1,0.270859649,0.036478562,0.276666667,0.2,0.333333333,0.245,0.295
79.32301587,8.950967999,79.83333333,65,95,71.25,87.25,4,AGUIX,liver,26201,3.1,0.157877193,0.036821575,0.153333333,0.106666667,0.233333333,0.126666667,0.181666667
72.14206349,7.700446804,71,60.33333333,86,66.41666667,77.33333333,5,AGUIX,liver,26201,3.1,0.050333333,0.011039681,0.053333333,0.033333333,0.066666667,0.04,0.055
77.07719298,8.36138659,78,61.33333333,90.66666667,72,84.16666667,1,AGUIX,liver,26608,2.9,NA,NA,NA,NA,NA,NA,NA
109.4333333,8.554301969,110.1666667,92.66666667,124.3333333,102.5,115.5833333,2,AGUIX,liver,26608,2.9,0.222790309,0.024167339,0.226666667,0.186666667,0.26,0.2,0.236666667
100.0666667,9.260444893,99.33333333,83.66666667,117,94.66666667,107,3,AGUIX,liver,26608,2.9,0.241136174,0.031900557,0.246666667,0.186666667,0.286666667,0.223333333,0.26
93.3,9.591977536,92.83333333,76.33333333,114,87.33333333,99.08333333,4,AGUIX,liver,26608,2.9,0.151512114,0.014723164,0.153333333,0.126666667,0.166666667,0.143333333,0.166666667
88.11666667,8.487086942,88.16666667,70.66666667,103.3333333,82.5,94.5,5,AGUIX,liver,26608,2.9,0.049273183,0.027784473,0.046666667,0.013333333,0.106666667,0.026666667,0.066666667
79.25175439,9.213509932,79.16666667,62.33333333,94.33333333,72.33333333,86.75,1,AGUIX,liver,26599,3.22,0.000952381,0.002332847,0,0,0.006666667,0,0
109.5895572,7.062211379,110.5,96.66666667,122.3333333,105,114.8333333,2,AGUIX,liver,26599,3.22,0.404631579,0.027501981,0.406666667,0.333333333,0.44,0.39,0.426666667
97.01854637,6.704554538,97.33333333,83.66666667,110.3333333,92.33333333,101.8333333,3,AGUIX,liver,26599,3.22,0.428507101,0.028407635,0.426666667,0.38,0.473333333,0.4,0.455
98.15075188,7.288572404,99.83333333,83.66666667,110.6666667,93,102.75,4,AGUIX,liver,26599,3.22,0.260934837,0.033630537,0.263333333,0.206666667,0.326666667,0.231666667,0.283333333
92.63091061,6.763786434,93.33333333,80.66666667,105.3333333,87.16666667,97.16666667,5,AGUIX,liver,26599,3.22,0.153086048,0.02517517,0.153333333,0.113333333,0.206666667,0.133333333,0.165
65.98913952,9.319644524,65.66666667,48.66666667,82,59.5,73.5,1,AGUIX,liver,26285,2.7,0,0,0,0,0,0,0
100.7960317,8.376455001,100.6666667,86.33333333,115,94.58333333,108.0833333,2,AGUIX,liver,26285,2.7,0.542581454,0.037154486,0.543333333,0.48,0.6,0.511666667,0.573333333
